編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTOMLMJJHKGFAU56DA,35,104.19,住家用,鋼筋混凝土造,79年4月10日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPPNMLPLKIJGFBU76DA,44,119.22,住家用,鋼筋混凝土加強磚造,69年7月8日,二層,一層 二層,全筆移轉
RPPNMLNJJHKGFBU98EA,48,174.34,住商用,鋼筋混凝土加強磚造,65年10月18日,二層,一層 二層 騎樓,全筆移轉
RPOPMLNJKIJGFAU98DA,33,240.19,住商用,鋼筋混凝土造,81年4月8日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLMJJHKGFAU88DA,13,243.87,住家用,鋼筋混凝土造,101年4月26日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPUNMLRJJHKGFAU07DA,47,121.91,住商用,鋼筋混凝土加強磚造,66年12月23日,二層,一層 二層 騎樓,全筆移轉
RPRNMLRJJHKGFAU76DA,26,264.92,住家用,鋼筋混凝土造,87年8月11日,四層,一層 二層 三層 四層 陽台 屋頂突出物 停車場,全筆移轉
RPPNMLQLKIJGFBU86DA,46,124.48,住家用,鋼筋混凝土造,68年3月3日,二層,一層 二層 騎樓,全筆移轉
RPQNMLQJJHKGFAU56DA,39,239.31,住商用,鋼筋混凝土造,75年1月25日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓 地下層,全筆移轉
RPPNMLQJJHKGFCU66DA,46,94.02,住家用,鋼筋混凝土造,68年2月15日,二層,一層 二層,全筆移轉
RPPOMLQJJHKGFAU56DA,13,254.09,農舍,鋼筋混凝土造,101年5月9日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPUNMLNJJHKGFAU66DA,38,100.00,住家用,鋼筋混凝土造,75年7月17日,四層,一層 騎樓,全筆移轉
RPWNMLNJJHKGFAU86DA,48,51.15,住家用,鋼筋混凝土加強磚造,65年12月4日,一層,一層,全筆移轉
RPUNMLNJJHKGFAU66DA,38,9.03,共有部份,鋼筋混凝土造,75年7月17日,四層,,持分移轉
RPUNMLNJJHKGFAU66DA,38,8.76,共有部份,鋼筋混凝土造,75年7月17日,四層,,持分移轉
RPUOMLQJJHKGFAU07DA,27,38.81,住家用,鋼筋混凝土造,86年8月27日,九層,一層 平台,全筆移轉
RPUOMLQJJHKGFAU07DA,27,5.49,共有部份,鋼筋混凝土造,86年8月27日,九層,,持分移轉
RPUOMLQJJHKGFAU07DA,27,1.93,共有部份,鋼筋混凝土造,86年8月27日,九層,,持分移轉
RPTOMLQJJHKGFAU96DA,,34.72,集合住宅,鋼筋混凝土造,113年8月14日,七層,四層 陽台,全筆移轉
RPTOMLQJJHKGFAU96DA,,19.08,共有部份,鋼筋混凝土造,113年8月14日,七層,,持分移轉
RPPNMLSJJHKGFAU66DA,30,199.40,住宅、儲藏室、自用車庫,鋼筋混凝土造,83年6月24日,四層,一層 二層 三層 四層 陽台 平台 地下層,全筆移轉
RPSOMLRJJHKGFAU96DA,46,98.19,住家用,鋼筋混凝土加強磚造,68年2月1日,二層,一層 二層,全筆移轉
RPQOMLRJJHKGFAU76DA,56,45.40,住家用,木石磚造（雜木）,,一層,一層 騎樓,持分移轉
RPTNMLTJJHKGFAU17DA,,73.77,集合住宅,鋼筋混凝土造,113年9月23日,七層,七層 陽台,全筆移轉
RPTNMLTJJHKGFAU17DA,,31.66,共有部份,鋼筋混凝土造,113年9月23日,七層,,持分移轉
RPTNMLSJJHKGFAU07DA,29,25.97,住家用,鋼筋混凝土造,84年11月15日,十二層,五層 花台,全筆移轉
RPTNMLSJJHKGFAU07DA,30,6.37,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPTNMLSJJHKGFAU07DA,30,8.30,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPQOMLKKKIJGFAU88DA,46,70.84,住家用,鋼筋混凝土加強磚造,68年2月12日,二層,一層 二層,全筆移轉
RPXNMLQJJHKGFAU27DA,2,62.47,集合住宅,鋼筋混凝土造,111年12月1日,八層,三層 陽台,全筆移轉
RPXNMLQJJHKGFAU27DA,2,43.02,共有部份,鋼筋混凝土造,111年12月1日,八層,,持分移轉
RPXNMLQJJHKGFAU27DA,2,13.75,共有部份（停車空間）,鋼筋混凝土造,111年12月1日,八層,,持分移轉
RPSNMLTJJHKGFAU07DA,31,61.35,住家用,鋼筋混凝土造,82年6月18日,六層,六層 陽台,全筆移轉
RPWOMLSJJHKGFAU47DA,4,79.10,店鋪,鋼筋混凝土造,109年11月27日,七層,一層 騎樓,全筆移轉
RPSNMLTJJHKGFAU07DA,31,13.89,共有部份,鋼筋混凝土造,82年6月18日,六層,,持分移轉
RPWOMLSJJHKGFAU47DA,4,33.02,本共有部分之項目有門廊、停車空間、無障礙電梯、樓梯間、機房及屋頂突出物１，２，３層等,鋼筋混凝土造,109年11月27日,七層,,持分移轉
RPTNMLNJJHKGFAU56DA,48,99.90,住家用,鋼筋混凝土加強磚造,66年4月19日,二層,一層 二層,全筆移轉
RPPNMLKKJHKGFBU68DA,41,79.68,住家用,鋼筋混凝土加強磚造,72年8月9日,一層,一層 雨遮 廚房,全筆移轉
RPPOMLTKKIJGFAU07DA,3,42.76,集合住宅,鋼筋混凝土造,110年8月30日,五層,三層 陽台,全筆移轉
RPPOMLTKKIJGFAU07DA,3,4.86,共有部份,鋼筋混凝土造,110年8月30日,五層,,持分移轉
